Year,G,W,L,W-L%
2015,132,75,57,0.568
2014,162,73,89,0.451
2013,162,66,96,0.40700000000000003
2012,162,61,101,0.377
2011,162,71,91,0.43799999999999994
2010,162,75,87,0.46299999999999997
2009,161,83,78,0.516
2008,161,97,64,0.602
2007,162,85,77,0.525
2006,162,66,96,0.40700000000000003
2005,162,79,83,0.488
2004,162,89,73,0.5489999999999999
2003,162,88,74,0.5429999999999999
2002,162,67,95,0.414
2001,162,88,74,0.5429999999999999
2000,162,65,97,0.401
1999,162,67,95,0.414
1998,163,90,73,0.552
1997,162,68,94,0.42
1996,162,76,86,0.469
1995,144,73,71,0.507
1994,113,49,64,0.434
1993,163,84,78,0.519
1992,162,78,84,0.48100000000000004
1991,160,77,83,0.48100000000000004
1990,162,77,85,0.475
1989,162,93,69,0.574
1988,163,77,85,0.475
1987,161,76,85,0.47200000000000003
1986,160,70,90,0.43799999999999994
1985,162,77,84,0.478
1984,161,96,65,0.596
1983,162,71,91,0.43799999999999994
1982,162,73,89,0.451
1981,106,38,65,0.369
1980,162,64,98,0.395
1979,162,80,82,0.494
1978,162,79,83,0.488
1977,162,81,81,0.5
1976,162,75,87,0.46299999999999997
1975,162,75,87,0.46299999999999997
1974,162,66,96,0.40700000000000003
1973,161,77,84,0.478
1972,156,85,70,0.5479999999999999
1971,162,83,79,0.512
1970,162,84,78,0.519
1969,163,92,70,0.568
1968,163,84,78,0.519
1967,162,87,74,0.54
1966,162,59,103,0.364
1965,164,72,90,0.444
1964,162,76,86,0.469
1963,162,82,80,0.506
1962,162,59,103,0.364
1961,156,64,90,0.41600000000000004
1960,156,60,94,0.39
1959,155,74,80,0.48100000000000004
1958,154,72,82,0.46799999999999997
1957,156,62,92,0.40299999999999997
1956,157,60,94,0.39
1955,154,72,81,0.47100000000000003
1954,154,64,90,0.41600000000000004
1953,155,65,89,0.42200000000000004
1952,155,77,77,0.5
1951,155,62,92,0.40299999999999997
1950,154,64,89,0.418
1949,154,61,93,0.396
1948,155,64,90,0.41600000000000004
1947,155,69,85,0.44799999999999995
1946,155,82,71,0.536
1945,155,98,56,0.636
1944,157,75,79,0.48700000000000004
1943,154,74,79,0.484
1942,155,68,86,0.442
1941,155,70,84,0.455
1940,154,75,79,0.48700000000000004
1939,156,84,70,0.545
1938,154,89,63,0.586
1937,154,93,61,0.604
1936,154,87,67,0.565
1935,154,100,54,0.649
1934,152,86,65,0.57
1933,154,86,68,0.5579999999999999
1932,154,90,64,0.584
1931,156,84,70,0.545
1930,156,90,64,0.584
1929,156,98,54,0.645
1928,154,91,63,0.591
1927,153,85,68,0.556
1926,155,82,72,0.532
1925,154,68,86,0.442
1924,154,81,72,0.529
1923,154,83,71,0.539
1922,156,80,74,0.519
1921,153,64,89,0.418
1920,154,75,79,0.48700000000000004
1919,140,75,65,0.536
1918,131,84,45,0.6509999999999999
1917,157,74,80,0.48100000000000004
1916,156,67,86,0.43799999999999994
1915,156,73,80,0.47700000000000004
1914,156,78,76,0.506
1913,155,88,65,0.575
1912,152,91,59,0.607
1911,157,92,62,0.597
1910,154,104,50,0.675
1909,155,104,49,0.68
1908,158,99,55,0.643
1907,155,107,45,0.7040000000000001
1906,155,116,36,0.763
1905,155,92,61,0.601
1904,156,93,60,0.608
1903,139,82,56,0.594
1902,141,68,69,0.496
1901,140,53,86,0.381
1900,146,65,75,0.46399999999999997
1899,152,75,73,0.507
1898,152,85,65,0.5670000000000001
1897,138,59,73,0.447
1896,132,71,57,0.555
1895,133,72,58,0.5539999999999999
1894,135,57,75,0.43200000000000005
1893,128,56,71,0.441
1892,147,70,76,0.479
1891,137,82,53,0.607
1890,139,83,53,0.61
1889,136,67,65,0.508
1888,136,77,58,0.57
1887,127,71,50,0.5870000000000001
1886,126,90,34,0.726
1885,113,87,25,0.777
1884,113,62,50,0.5539999999999999
1883,98,59,39,0.602
1882,84,55,29,0.655
1881,84,56,28,0.667
1880,86,67,17,0.7979999999999999
1879,83,46,33,0.5820000000000001
1878,61,30,30,0.5
1877,60,26,33,0.441
1876,66,52,14,0.7879999999999999
